date_start_utc,date_end_utc,estimated,estimated_start,start_text,medal,venue_code,description,venue_code_other,discription_other,team_1_code,team_1,team_2_code,team_2,tag,sport,sport_code,sport_url
8/5/2024 19:50,8/5/2024 20:30,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/5/2024 18:30,8/5/2024 19:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/5/2024 19:50,8/5/2024 20:30,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/5/2024 18:30,8/5/2024 19:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/5/2024 19:50,8/5/2024 20:30,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 0:30,8/6/2024 0:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 0:50,8/6/2024 1:10,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 1:10,8/6/2024 1:30,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 14:30,8/6/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 15:00,8/6/2024 16:10,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 16:20,8/6/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 14:30,8/6/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 15:00,8/6/2024 16:10,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 16:20,8/6/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 14:30,8/6/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 15:00,8/6/2024 16:10,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 16:20,8/6/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 21:45,8/6/2024 22:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 22:05,8/6/2024 22:25,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/6/2024 22:25,8/6/2024 22:45,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/7/2024 14:30,8/7/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/7/2024 15:00,8/7/2024 16:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/7/2024 16:20,8/7/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/7/2024 14:30,8/7/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/7/2024 15:00,8/7/2024 16:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/7/2024 16:20,8/7/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/7/2024 14:30,8/7/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/7/2024 15:00,8/7/2024 16:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/7/2024 16:20,8/7/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/7/2024 21:45,8/7/2024 22:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/7/2024 22:05,8/7/2024 22:25,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/7/2024 22:25,8/7/2024 22:45,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/8/2024 14:30,8/8/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/8/2024 15:00,8/8/2024 16:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/8/2024 16:20,8/8/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/8/2024 14:30,8/8/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/8/2024 15:00,8/8/2024 16:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/8/2024 16:20,8/8/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/8/2024 14:30,8/8/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/8/2024 15:00,8/8/2024 16:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/8/2024 16:20,8/8/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/8/2024 21:45,8/8/2024 22:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/8/2024 22:05,8/8/2024 22:25,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/8/2024 22:25,8/8/2024 22:45,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/9/2024 14:30,8/9/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/9/2024 15:00,8/9/2024 16:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/9/2024 16:20,8/9/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/9/2024 14:30,8/9/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/9/2024 15:00,8/9/2024 16:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/9/2024 16:20,8/9/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/9/2024 14:30,8/9/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/9/2024 15:00,8/9/2024 16:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/9/2024 16:20,8/9/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/9/2024 21:45,8/9/2024 22:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/9/2024 22:05,8/9/2024 22:25,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/9/2024 22:25,8/9/2024 22:45,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/10/2024 14:30,8/10/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/10/2024 15:00,8/10/2024 16:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/10/2024 16:20,8/10/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/10/2024 14:30,8/10/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/10/2024 15:00,8/10/2024 16:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/10/2024 16:20,8/10/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/10/2024 14:30,8/10/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/10/2024 15:00,8/10/2024 16:20,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/10/2024 16:20,8/10/2024 17:00,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/10/2024 21:45,8/10/2024 22:05,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/10/2024 22:05,8/10/2024 22:25,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/10/2024 22:25,8/10/2024 22:45,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/11/2024 14:30,8/11/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
8/11/2024 14:30,8/11/2024 14:50,False,False,,,CDM,Champ-de-Mars Arena,,,,,,,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
